[0]     validation_0-logloss:0.68924    validation_0-auc:0.66819        validation_1-logloss:0.68928    validation_1-auc:0.66326
[1]     validation_0-logloss:0.68575    validation_0-auc:0.67129        validation_1-logloss:0.68581    validation_1-auc:0.66595
[2]     validation_0-logloss:0.68264    validation_0-auc:0.67348        validation_1-logloss:0.68272    validation_1-auc:0.66741
[3]     validation_0-logloss:0.67983    validation_0-auc:0.67520        validation_1-logloss:0.67992    validation_1-auc:0.66940
[4]     validation_0-logloss:0.67727    validation_0-auc:0.67580        validation_1-logloss:0.67737    validation_1-auc:0.66963
[5]     validation_0-logloss:0.67498    validation_0-auc:0.67682        validation_1-logloss:0.67510    validation_1-auc:0.67056
[6]     validation_0-logloss:0.67288    validation_0-auc:0.67741        validation_1-logloss:0.67302    validation_1-auc:0.67119
[7]     validation_0-logloss:0.67085    validation_0-auc:0.67817        validation_1-logloss:0.67099    validation_1-auc:0.67183
[8]     validation_0-logloss:0.66894    validation_0-auc:0.68029        validation_1-logloss:0.66910    validation_1-auc:0.67421
[9]     validation_0-logloss:0.66727    validation_0-auc:0.68106        validation_1-logloss:0.66744    validation_1-auc:0.67483
[10]    validation_0-logloss:0.66578    validation_0-auc:0.68130        validation_1-logloss:0.66597    validation_1-auc:0.67528
[11]    validation_0-logloss:0.66438    validation_0-auc:0.68167        validation_1-logloss:0.66458    validation_1-auc:0.67556
[12]    validation_0-logloss:0.66310    validation_0-auc:0.68241        validation_1-logloss:0.66331    validation_1-auc:0.67598
[13]    validation_0-logloss:0.66190    validation_0-auc:0.68273        validation_1-logloss:0.66212    validation_1-auc:0.67605
[14]    validation_0-logloss:0.66081    validation_0-auc:0.68307        validation_1-logloss:0.66103    validation_1-auc:0.67635
[15]    validation_0-logloss:0.65977    validation_0-auc:0.68360        validation_1-logloss:0.65998    validation_1-auc:0.67680
[16]    validation_0-logloss:0.65871    validation_0-auc:0.68489        validation_1-logloss:0.65894    validation_1-auc:0.67790
[17]    validation_0-logloss:0.65783    validation_0-auc:0.68525        validation_1-logloss:0.65806    validation_1-auc:0.67814
[18]    validation_0-logloss:0.65690    validation_0-auc:0.68623        validation_1-logloss:0.65715    validation_1-auc:0.67905
[19]    validation_0-logloss:0.65601    validation_0-auc:0.68714        validation_1-logloss:0.65628    validation_1-auc:0.67980
[20]    validation_0-logloss:0.65518    validation_0-auc:0.68781        validation_1-logloss:0.65546    validation_1-auc:0.68042
[21]    validation_0-logloss:0.65436    validation_0-auc:0.68877        validation_1-logloss:0.65466    validation_1-auc:0.68119
[22]    validation_0-logloss:0.65366    validation_0-auc:0.68943        validation_1-logloss:0.65395    validation_1-auc:0.68184
[23]    validation_0-logloss:0.65307    validation_0-auc:0.68978        validation_1-logloss:0.65336    validation_1-auc:0.68203
[24]    validation_0-logloss:0.65251    validation_0-auc:0.69016        validation_1-logloss:0.65281    validation_1-auc:0.68240
[25]    validation_0-logloss:0.65172    validation_0-auc:0.69137        validation_1-logloss:0.65202    validation_1-auc:0.68353
[26]    validation_0-logloss:0.65108    validation_0-auc:0.69218        validation_1-logloss:0.65138    validation_1-auc:0.68420
[27]    validation_0-logloss:0.65016    validation_0-auc:0.69393        validation_1-logloss:0.65048    validation_1-auc:0.68595
[28]    validation_0-logloss:0.64956    validation_0-auc:0.69458        validation_1-logloss:0.64988    validation_1-auc:0.68662
[29]    validation_0-logloss:0.64868    validation_0-auc:0.69607        validation_1-logloss:0.64901    validation_1-auc:0.68802
[30]    validation_0-logloss:0.64817    validation_0-auc:0.69651        validation_1-logloss:0.64849    validation_1-auc:0.68842
[31]    validation_0-logloss:0.64750    validation_0-auc:0.69750        validation_1-logloss:0.64784    validation_1-auc:0.68934
[32]    validation_0-logloss:0.64675    validation_0-auc:0.69886        validation_1-logloss:0.64710    validation_1-auc:0.69062
[33]    validation_0-logloss:0.64630    validation_0-auc:0.69925        validation_1-logloss:0.64665    validation_1-auc:0.69084
[34]    validation_0-logloss:0.64579    validation_0-auc:0.69986        validation_1-logloss:0.64615    validation_1-auc:0.69129
[35]    validation_0-logloss:0.64541    validation_0-auc:0.70016        validation_1-logloss:0.64577    validation_1-auc:0.69149
[36]    validation_0-logloss:0.64496    validation_0-auc:0.70080        validation_1-logloss:0.64533    validation_1-auc:0.69196
[37]    validation_0-logloss:0.64461    validation_0-auc:0.70112        validation_1-logloss:0.64497    validation_1-auc:0.69216
[38]    validation_0-logloss:0.64395    validation_0-auc:0.70213        validation_1-logloss:0.64432    validation_1-auc:0.69309
[39]    validation_0-logloss:0.64342    validation_0-auc:0.70288        validation_1-logloss:0.64379    validation_1-auc:0.69360
[40]    validation_0-logloss:0.64280    validation_0-auc:0.70388        validation_1-logloss:0.64318    validation_1-auc:0.69450
[41]    validation_0-logloss:0.64228    validation_0-auc:0.70461        validation_1-logloss:0.64267    validation_1-auc:0.69500
[42]    validation_0-logloss:0.64195    validation_0-auc:0.70504        validation_1-logloss:0.64233    validation_1-auc:0.69519
[43]    validation_0-logloss:0.64164    validation_0-auc:0.70531        validation_1-logloss:0.64202    validation_1-auc:0.69530
[44]    validation_0-logloss:0.64113    validation_0-auc:0.70611        validation_1-logloss:0.64151    validation_1-auc:0.69591
[45]    validation_0-logloss:0.64080    validation_0-auc:0.70643        validation_1-logloss:0.64119    validation_1-auc:0.69606
[46]    validation_0-logloss:0.63989    validation_0-auc:0.70805        validation_1-logloss:0.64030    validation_1-auc:0.69759
[47]    validation_0-logloss:0.63941    validation_0-auc:0.70882        validation_1-logloss:0.63983    validation_1-auc:0.69833
[48]    validation_0-logloss:0.63901    validation_0-auc:0.70930        validation_1-logloss:0.63944    validation_1-auc:0.69852
[49]    validation_0-logloss:0.63864    validation_0-auc:0.70979        validation_1-logloss:0.63906    validation_1-auc:0.69884
[50]    validation_0-logloss:0.63830    validation_0-auc:0.71018        validation_1-logloss:0.63872    validation_1-auc:0.69900
[51]    validation_0-logloss:0.63783    validation_0-auc:0.71091        validation_1-logloss:0.63825    validation_1-auc:0.69965
[52]    validation_0-logloss:0.63729    validation_0-auc:0.71179        validation_1-logloss:0.63773    validation_1-auc:0.70047
[53]    validation_0-logloss:0.63700    validation_0-auc:0.71207        validation_1-logloss:0.63743    validation_1-auc:0.70057
